"ID","org","address","phone","email","website","lon","lat","zipcode","capacity_hours"
1,"La Clinica School-Based Health Center at Phoenix Elementary School","215 N Rose St, Phoenix, OR 97535-5734","541-535-6239","","http://www.laclinicahealth.org",-122.81958059,42.27330757,"97535",42.5
2,"South Side School","21 Tuttle Rd, Bristol, CT 06010-9475","860-793-3046","","http://www.wheelerclinic.org",-72.95301528,41.66136772,"06010",24
3,"River Valley Primary Care Services Inc.","9755 W State Highway 22, Ratcliff, AR 72951-9000","479-431-2050","","http://www.rvpcs.org",-93.87908229,35.30598257,"72951",44
4,"CHCRR Administration","71 Allen St, Rutland, VT 05701-4570","802-855-2083","","",-72.96300164,43.5976502,"05701",NA
5,"Chandler Center for Women","655 S Dobson Rd Ste 201, Chandler, AZ 85224-5669","480-307-9477","","",-111.87615765,33.29469,"85224",40
6,"Cornerstone Family Healthcare: The Center for Recovery","3 Commercial Pl, Newburgh, NY 12550-5306","845-220-2146","","http://www.ghvfhc.org",-74.02759631,41.49357757,"12550",69
7,"Third Street Primary Care Clinic","8 E 3rd St, New York, NY 10003-8908","212-533-8400","","",-73.9909776625518,40.7259840524312,"10003",41
8,"Community Health Services - Lima","1005 Bellefontaine Ave Ste 300, Lima, OH 45804-2881","419-998-8250","","",-84.08802062,40.73588513,"45804",37.5
9,"Community Health Centers of Southern Iowa","302 NE 14th St, Leon, IA 50144-1206","641-446-2283","","http://chcsi.org/",-93.74336996,40.75032947,"50144",50
10,"Petworth Health Center Dc","3912 Georgia Ave NW, Washington, DC 20011-5861","202-483-8196","","http://www.maryscenter.org",-77.025114,38.939256,"20011",64
11,"Juniper Health - Elliott County","38 J F Green St, Sandy Hook, KY 41171-7134","606-738-5545","","http://www.juniperhealth.org",-83.12430131,38.09546103,"41171",40
12,"Battenkill Valley Health Center Inc.","9 Church St, Arlington, VT 05250-4457","802-375-6566","","https://www.battenkillvalleyhealthcenter.org",-73.15477067,43.07310082,"05250",51
13,"Altamed Medical Group: Anaheim,  Lincoln - West","1820 W Lincoln Ave, Anaheim, CA 92801-6730","714-635-0593","","http://www.altamed.org",-117.9467955,33.83242049,"92801",45
14,"Zapata","210 Rathmell St, Zapata, TX 78076","956-765-4367","","http://www.gatewaychc.com",-99.26848742,26.9015703,"78076",57
15,"CHCRR Shoreham Family Health Center","2987 VT-22A, Shoreham, VT 05770","802-671-2101","","http://www.chcrr.org",-73.30847264,43.89836132,"05770",36
16,"Reed Elementary School","1670 N Linder Rd, Kuna, ID 83634-3032","208-459-1011","","",-116.41368614,43.50432366,"83634",20
17,"Florida Community Health Center, Moore Haven","1021 Health Park Dr, Moore Haven, FL 33471-6206","863-946-0405","","",-81.12580655,26.8400277,"33471",44
18,"Children's Farm Home","4455 NE Highway 20, Corvallis, OR 97330-9695","541-766-6034","","http://www.trilliumfamily.org/forms/farm.pdf",-123.216651,44.60791499,"97330",10
19,"Gulf Coast Health Center, Inc. - Jasper Dental","103 W Gibson St Ste 112, Jasper, TX 75951-4970","409-983-1161","","",-94.00084245,30.90873334,"75951",45
20,"Goshen Medical Center - Fremont","109 S Sycamore St, Fremont, NC 27830-8710","919-242-4382","","http://www.goshenmedical.org",-77.97416366,35.54311133,"27830",40
21,"Highland Health Providers","1487 N High St, Hillsboro, OH 45133-8496","937-840-9150","","http://www.hhproviders.org",-83.61048318,39.23193275,"45133",47
22,"Family Wellness Center - Hope Building","619 Lincoln Ave, Woodland, CA 95695-4017","530-662-2211","","",-121.77287803,38.67564721,"95695",NA
23,"Sb Dental at Fairgrieve Elementary School","716 Academy St, Fulton, NY 13069-1912","315-593-5550","","",-76.40598158,43.32293365,"13069",8
24,"Northwest Michigan Health Services, Inc.","10767 E Traverse Hwy, Traverse City, MI 49684-6219","231-947-0351","","http://www.nmhsi.org",-85.64667404,44.77555106,"49684",52.5
25,"North Little Rock Community Health Center","2525 Willow St Ste 1, North Little Rock, AR 72114-2213","501-812-0255","","",-92.27169606,34.77862774,"72114",47
26,"Arcare - 45","114 Ray St, Newport, AR 72112-4260","870-523-2944","","",-91.25572046,35.60540172,"72112",40
27,"Mid Lakes Medical and Dental Building","224 W Clarendon Dr, Round Lake Beach, IL 60073-1896","847-984-5100","","http://www.lakecountyil.gov/health",-88.08876129,42.37071623,"60073",75
28,"Wchc Hamtramck Health Center","9021 Joseph Campau St, Hamtramck, MI 48212-3726","313-871-1926","","https://www.waynecountyhealthy.com/",-83.05461488,42.39185266,"48212",46.5
29,"Wellness Pointe - Pine Tree","1761 W Loop 281, Longview, TX 75604-2734","903-758-2610","","",-94.78179027,32.52538919,"75604",40
30,"Community Healthcare Center - Juarez Medical Clinic","1000 Juarez St Bldg A, Wichita Falls, TX 76301-6905","940-766-6306","","http://www.chcwf.com",-98.47396515,33.91211437,"76301",40
31,"North Street","215 W North St, Waverly, OH 45690-1031","740-289-2371","","",-82.98851077,39.12697632,"45690",NA
32,"Sea Mar Chc - Bellingham Cordata Parkway","4455 Cordata Pkwy, Bellingham, WA 98226-8037","360-671-3225","","http://www.seamar.org",-122.49610425,48.80148546,"98226",53
33,"Banyan Community Health Center-Cutler Bay","10720 Caribbean Blvd, Cutler Bay, FL 33189-1218","305-774-3400","","",-80.36556969,25.57732364,"33189",45
34,"Maricopa Center for Women","44765 W Hathaway Ave, Maricopa, AZ 85139","520-788-6100","","http://www.slfhc.org",-112.04858186,33.06223852,"85139",55
35,"Carondelet","401 Holly Hills Ave, Saint Louis, MO 63111-2410","314-481-1615","","http://www.familycarehealthcenter.org",-90.25114952,38.55805742,"63111",55
36,"Hamilton Community Health Center","210 S 2nd St, Hamilton, OH 45011-2811","513-892-1888 x6010","","http://myprimaryhealthsolutions.org",-84.56263141,39.39822828,"45011",46
37,"Hamilton West","903 NW Washington Blvd Ste A, Hamilton, OH 45013-6367","513-737-6900","","http://myprimaryhealthsolutions.org",-84.58826764,39.42648283,"45013",43
38,"Loudoun Community Health Center Dba Healthworks for Northern Virginia","163 Fort Evans Rd NE, Leesburg, VA 20176-4420","703-443-2000","","http://hwnova.org/",-77.54091466,39.10923513,"20176",40
39,"Sea Mar Chc - Vancouver 5411 E. Mill Plain Blvd.","5411 E Mill Plain Blvd, Vancouver, WA 98661-7057","360-831-0904","","",-122.614596,45.627381,"98661",42.5
40,"Access Paul and Mimi Francis Westside Family Health Center","3752 W 16th St, Chicago, IL 60623-2028","773-762-2435","","http://www.accesscommunityhealth.net",-87.71972274,41.85895938,"60623",49
41,"Center for Child Health and Resiliency","890 Prospect Ave, Bronx, NY 10459-3978","718-991-0605","","",-73.90113503,40.82076195,"10459",49
42,"Phoebe Sumter Primary Care Clinic - Ellaville","339 S Broad St, Ellaville, GA 31806-3304","229-937-5321","","https://www.phoebehealth.com/locations/phoebe-sumter-medical-center/ellaville-clinic",-84.30874753,32.23286927,"31806",44
43,"Access Southwest Family Health Center","4839 W 47th St, Chicago, IL 60638-2039","773-735-2345","","http://www.accesscommunityhealth.net",-87.74474399,41.80757251,"60638",54
44,"Altamed Medical Group: Anaheim, Lincoln","1814 W Lincoln Ave, Anaheim, CA 92801-6730","714-780-5690","","http://www.altamed.org",-117.94634099,33.83242047,"92801",45
45,"Hardin County Medical Clinic","IL-146, Elizabethtown, IL 62931","618-285-6191","","http://www.chesi.org",-88.29207785,37.4651858,"62931",24
46,"Chc/Sek Southeast High School","126 W 400 Hwy, Cherokee, KS 66724-9606","620-457-8365","","",-94.83414789,37.33950451,"66724",40
47,"Ofu Community Health Center","Ofu Community Health Center  PO Box 3965, Pago Pago, AS 96799","684-655-1176","","",-170.747,-14.319,"96799",40
