"ID","org","address","phone","website","lon","lat","zipcode","beds_capacity","type"
1,"Colorado River Medical Center","1401 Bailey Avenue, Needles, CA 92363","","http://www.cityofneedles.com/Hospitals.asp",-114.617493964,34.8330659210001,"92363",25,"General Acute Care"
2,"Alvarado Hospital Medical Center","6655 Alvarado Road, San Diego, CA 92120","","http://www.alvaradohospital.com",-117.057064596,32.7765863870001,"92120",226,"General Acute Care"
3,"Alvarado Parkway Institute B.h.s.","7050 Parkway Drive, La Mesa, CA 91942","","http://www.apibhs.com",-117.044161793,32.774631666,"91942",66,"Psychiatric"
4,"Kindred Hospital - San Diego","1940 El Cajon Boulevard, San Diego, CA 92104","","http://www.kindredsandiego.com",-117.144645403,32.756383661,"92104",70,"General Acute Care"
5,"Paradise Valley Hospital","2400 East Fourth Street, National City, CA 92050","","http://www.paradisevalleyhospital.org",-117.082336705,32.6853405530001,"92050",227,"General Acute Care"
6,"Laguna Honda Hospital and Rehabilitation Center","375 Laguna Honda Boulevard, San Francisco, CA 94116","","http://lagunahonda.org/",-122.425873352,37.7743640780001,"94116",780,"General Acute Care"
7,"Langley Porter Psychiatric Institute","401 Parnassus Avenue, San Francisco, CA 94143","","http://psych.ucsf.edu/lpphc.aspx",-122.456850621,37.763472349,"94143",67,"Psychiatric"
8,"UCSF Medical Center","505 Parnassus Avenue, San Francisco, CA 94122","","https://www.ucsfhealth.org/",-122.457877178,37.7630768510001,"94122",580,"General Acute Care"
9,"UCSF Medical Center at Mount Zion","1600 Divisadero Street, San Francisco, CA 94115","","http://www.ucsfhealth.org",-122.439147211,37.7849197100001,"94115",140,"General Acute Care"
10,"Coast Plaza Doctors Hospital","13100 South Studebaker Road, Norwalk, CA 90650","","http://www.coastplaza.com",-118.09882162,33.912693115,"90650",117,"General Acute Care"
11,"Community Hospital of Huntington Park","2623 East Slauson Avenue, Huntington Park, CA 90255","","http://www.chhplax.com",-118.224189855,33.989489571,"90255",81,"General Acute Care"
12,"Los Angeles County Olive View-Ucla Medical Center","14445 Olive View Drive, Sylmar, CA 91342","","http://www.ladhs.org",-118.445764102,34.3258717220001,"91342",355,"General Acute Care"
13,"Miracle Mile Medical Center","6000 San Vicente Boulevard, Los Angeles, CA 90036","","http://www.miraclemilemedicalcenter.com",-118.362458577,34.05736635,"90036",17,"General Acute Care"
14,"Olympia Medical Center","5900 West Olympia Blvd, Los Angeles, CA 90036","","http://www.olympiamc.com",-118.360527347,34.0572922740001,"90036",204,"General Acute Care"
15,"Pacific Alliance Medical Center, Inc.","531 West College Street, Los Angeles, CA 90012","","http://www.pamc.net",-118.239227761,34.0648800160001,"90012",138,"General Acute Care"
16,"West Hills Hospital and Medical Center","7300 Medical Center Drive, West Hills, CA 91307","","http://www.westhillshospital.com",-118.62862367,34.202859415,"91307",225,"General Acute Care"
17,"Hazel Hawkins Memorial Hospital","911 Sunset Drive, Hollister, CA 95023","","http://www.hazelhawkins.com",-121.386193641,36.8342012480001,"95023",119,"General Acute Care"
